Date,Tournament,Category,Round,Prize,Result
6/5/2019,World Championships,WC,Final,"?200,000",winner 
7/4/2019,China Open,R,Last 64,"?5,000",loss
10/3/2019,Players Championship,R,Quarter Final,"?15,000",loss
3/3/2019,Indian Open,R,Semi Final,"?15,000",loss
17/02/2019,Welsh Open,R,Quarter Final,"?10,000",loss
10/2/2019,World Grand Prix,R,Last 32,"?5,000",winner 
3/2/2019,German Masters,R,Last 32,"?4,000",winner 
20/01/2019,Masters,U,Last 16,"?12,500",loss
16/12/2018,Scottish Open,R,Last 16,"?6,000",loss
9/12/2018,UK Championship,UK,Last 64,"?5,000",winner 
18/11/2018,Northern Ireland Open,R,Last 128,Unknown,winner 
11/11/2018,Champion of Champions,U,Quarter Final,"?17,500",loss
4/11/2018,International Championship,R,Last 128,Unknown,loss
4/3/2018,Welsh Open,R,Winner,"?70,000",winner 
25/02/2018,World Grand Prix,R,Last 16,"?7,500",winner 
21/01/2018,Masters,U,Semi Final,"?50,000",loss
17/12/2017,Scottish Open,R,Semi Final,"?20,000",loss
10/12/2017,UK Championship,UK,Last 16,"?15,000",loss
26/11/2017,Northern Ireland Open,R,Last 32,"?3,500",winner 
18/11/2017,Shanghai Masters,R,Semi Final,"?32,000",loss
12/11/2017,Champion of Champions,U,Quarter Final,"?17,500",loss
5/11/2017,International Championship,R,Quarter Final,"?18,000",loss
22/10/2017,English Open,R,Last 16,"?6,000",winner 
8/10/2017,European Masters,R,Last 32,"?4,000",winner 
24/09/2017,World Open,R,Last 16,"?12,000",winner 
16/09/2017,Indian Open,R,Winner,"?50,000",winner 
22/08/2017,China Championship,R,Last 32,"?7,000",winner 
